,tfidf_word,tfidf
193,문제,0.022079298263976206
194,자산,0.022079298263976206
195,음식,0.022079298263976206
196,제일,0.02160952596048735
197,자주,0.02160952596048735
198,경우,0.02160952596048735
199,시험,0.02160952596048735
200,모든,0.02160952596048735
201,작다,0.02160952596048735
202,쿠폰,0.02160952596048735
203,토요일,0.021139753656998495
204,캐시,0.021139753656998495
205,살기,0.021139753656998495
206,별로,0.021139753656998495
207,반찬,0.021139753656998495
208,혜택,0.021139753656998495
209,엑셀,0.021139753656998495
210,활용,0.021139753656998495
211,최대,0.021139753656998495
212,바쁘다,0.02066998135350964
213,수익,0.02066998135350964
214,아르바이트,0.02066998135350964
215,행복하다,0.02066998135350964
216,소소하다,0.02066998135350964
217,샐러드,0.02066998135350964
218,편의점,0.02066998135350964
219,합계,0.020567190693457194
